2	6	51.83	51.82	0.01	0.02%	Multi Color Baseball & Snapback Hat For Men
2	7	28.39	28.38	0.01	0.04%	Gym Training Sports Fitness Weightlifting Wrist Wrap Gloves (L,black/blue)
3	19	40.74	40.73	0.01	0.02%	Brown Cowboy Hat For Men
4	12	33.78	33.76	0.02	0.06%	Sand Beach Mesh Storage Bag For Kids Summer Beach Shell Toys Clothes Tote Bags
4	16	17.98	17.97	0.01	0.06%	Gear S3 Frontier/Classic Watch Band Soft Silicone Man Watch Replacement Bracelet Strap for Samsung Gear S3
5	5	43.96	43.95	0.01	0.02%	Silicone Baby Teether Pacifier Glove Natural Thumb Sound Teething Chewable Nursing Beads Child Give Up Sucking Fingers
7	2	22.2	22.0	0.2	0.9%	Cartoon Baby Toys 0-12 Months Soft Animal Baby Rattles Wrist Strap Baby Foot Socks
18	16	21.8	21.79	0.01	0.05%	Wayfarer Sunglasses For Women, Clear
2018-08-16 13:32:55	2	9	60.75	60.74	0.01	0.02%	Cat Dog Toilet Training Device
2018-08-16 13:33:01	3	7	42.0	41.99	0.01	0.02%	Educational Toy Math for children ,Multi Color
2018-08-16 13:53:27	2	8	21.96	21.95	0.01	0.05%	Acquarium joyful accessory Luminous fish tank Landscaping Decoration Simulation fluorescent jellyfish floating soft jelly fish Imitation fish-voc,pink
2018-08-16 13:53:57	8	18	57.87	57.86	0.01	0.02%	Kemei KM-2209 Professional Electronic Hair Straightener Hair Curler 2 in 1 Irons 90W Hairstyling Portable Flat Straightening Corrugated Curling Styling Tools EU Plug
2018-08-16 14:24:17	1	5	21.95	21.94	0.01	0.05%	Acquarium joyful accessory Luminous fish tank Landscaping Decoration Simulation fluorescent jellyfish floating soft jelly fish Imitation fish-voc,pink
2018-08-16 14:32:53	1	1	21.94	21.93	0.01	0.05%	Acquarium joyful accessory Luminous fish tank Landscaping Decoration Simulation fluorescent jellyfish floating soft jelly fish Imitation fish-voc,pink
2018-08-16 14:32:54	1	10	31.19	31.18	0.01	0.03%	Ice Ball Maker Mold 4.5cm Spheres Essential Silicone Round Ice Ball Sphere Maker Molds
2018-08-16 14:58:11	2	20	34.45	34.4	0.05	0.15%	Wooden FIshing Sets Educational Toys
2018-08-16 15:16:41	6	14	84.6	84.59	0.01	0.01%	Head bed baby nursing breastfeeding u shape pillow - Panda Pattern
2018-08-16 15:37:29	1	9	21.93	21.9	0.03	0.14%	Acquarium joyful accessory Luminous fish tank Landscaping Decoration Simulation fluorescent jellyfish floating soft jelly fish Imitation fish-voc,pink
2018-08-16 15:37:38	3	4	51.6	51.5	0.1	0.19%	Multi Color Baseball & Snapback Hat For Men
2018-08-16 15:44:22	12	8	31.5	31.2	0.3	0.95%	Brown Straw Cowboy Hat For Men
2018-08-16 16:34:35	1	1	31.2	31.1	0.1	0.32%	Brown Straw Cowboy Hat For Men
2018-08-16 16:43:08	7	8	36.92	36.89	0.03	0.08%	Grip Suction Mount Handle
2018-08-16 16:56:07	3	2	35.85	35.84	0.01	0.03%	White Cowboy Hat For Kids
2018-08-16 17:30:30	6	7	90.29	90.28	0.01	0.01%	Funny Skeleton Coin Bank Moneybox
2018-08-16 17:36:11	3	10	44.96	44.95	0.01	0.02%	Pokemon Mega Charizard Large Plush Toys
2018-08-16 22:16:38	1	19	37.84	37.83	0.01	0.03%	Premium Flexible Silicone Round Spheres Ice Tray- Molds 4 X 4.5cm Round Ice Ball Spheres
2018-08-16 22:49:57	1	19	31.17	31.16	0.01	0.03%	Ice Ball Maker Mold 4.5cm Spheres Essential Silicone Round Ice Ball Sphere Maker Molds
2018-08-17 10:26:10	4	8	27.0	26.99	0.01	0.04%	Men leather videng polo brand casual travel messenger bag small cross body business handbag Black
2018-08-17 10:26:24	7	9	43.94	43.9	0.04	0.09%	Silicone Baby Teether Pacifier Glove Natural Thumb Sound Teething Chewable Nursing Beads Child Give Up Sucking Fingers
2018-08-17 10:27:21	18	16	38.99	38.9	0.09	0.23%	8 pcs Jurassic Park World Dinosaur Puzzle toy building blocks toys for children
2018-08-17 10:27:26	19	13	97.38	97.37	0.01	0.01%	New style Beach Toys Deluxe Playset for Kids 12 pcs Large Dump Truck Sand Shovel Set
2018-08-17 10:30:42	12	19	85.0	84.9	0.1	0.12%	Funky Men Earring Magnet Clip with Superman Printed Single Piece
2018-08-18 13:01:50	2724448953671	2	4	78.72	78.71	0.0	0.0%	Jinbaolai Black Leather For Men - Zip Around Wallets
2018-08-18 13:02:25	2724448719987	2	6	35.82	35.81	0.0	0.0%	White Cowboy Hat For Kids
2018-08-18 13:02:40	2724337444907	2	7	15.94	15.93	0.0	0.0%	Multi Color Cotton Visor Hat For Unisex
2018-08-18 13:02:54	2724337384340	2	8	41.92	41.91	0.0	0.0%	Mens Coin Purse Pockets Credit Card Holder Dull Clutch Bifold Wallet
2018-08-18 13:03:08	2724311190455	2	9	51.99	51.98	0.0	0.0%	Natural Crystal Black Onyx Obsidian Beads Multilayer Men's Bracelet
2018-08-18 13:03:25	2724295956368	2	10	90.0	89.99	0.0	0.0%	Philips AVENT Feeding Bottle Drying Rack - White, SCF149/00
2018-08-18 13:03:39	2724456211190	2	11	75.85	75.84	0.0	0.0%	Jinbaolai Brown Synthetic For Men - Card & ID Cases
2018-08-18 13:04:00	2724341621523	2	12	43.0	42.99	0.0	0.0%	Mermaid Pillow Case, Play Tailor Magic Reversible Sequins Pillow Cover Throw Cushion Case 39x39CM, off-white and Gold
2018-08-18 13:04:15	2724277742323	2	13	36.88	36.87	0.0	0.0%	Grip Suction Mount Handle
2018-08-18 13:04:30	2724287985116	2	14	42.66	42.65	0.0	0.0%	Women Men Trendy Unisex Fedora Trilby Gangster Cap Summer Beach Sun Straw Panama Hat Sunhat Belt GH3115 White
2018-08-18 13:04:44	2724589171552	2	15	37.99	37.98	0.0	0.0%	18K Gold-Plated Cat eye Diamond Ring for Men Size 9US
2018-08-18 13:05:05	2724448976304	2	16	65.0	64.99	0.0	0.0%	Men Ring Titanium Steel Vintga Classic Red Diamond Ring for Male US9mr8
2018-08-18 13:05:26	2724450552817	2	17	48.0	47.99	0.0	0.0%	18K Gold-Plated Cat's Eye Diamond Ring for Men Size US9
2018-08-18 13:05:53	2724462829495	2	18	97.87	97.86	0.0	0.0%	Medicine Pill Jewelry Storage Organizer Box Plastic Adjustable Tablet Container Drug Storage Box
2018-08-18 13:06:08	2724464115855	2	19	51.45	51.44	0.0	0.0%	Multi Color Baseball & Snapback Hat For Men
2018-08-18 13:06:31	2724297848050	2	20	24.5	24.49	0.0	0.0%	Gym Training Sports Fitness Weightlifting Wrist Wrap Gloves (L,black/blue)
2018-08-18 13:06:51	2724447356657	3	2	38.9	38.89	0.0	0.0%	Europe Style Men Shirt Cufflinks Fashion Casual Businessman Sleeve Button
2018-08-18 13:07:05	2724337700935	3	3	18.0	17.99	0.0	0.0%	Portable Credit Card Size Casino Bar Travel Wine Bottle Opener (Silver)
2018-08-18 13:07:26	2724599683472	3	4	112.9	112.89	0.0	0.0%	Waterproof Cute 3D Spiderman Children Backpacks Baby School Bags For Boys Cartoon Backpack Kids -xx
2018-08-18 13:07:41	2724317040761	3	5	86.5	86.49	0.0	0.0%	Classic 6 Hooks (for Women) Thermal Corset Natural Latex Free Size( Xl,2xl,3xl) Black Color
2018-08-18 13:07:54	2724460974197	3	6	45.9	45.89	0.0	0.0%	Knife Tool Swiss Army Pocket Knife Tool
2018-08-18 13:08:15	2724547672718	3	7	88.9	88.89	0.0	0.0%	Animated Flappy The Elephant Plush Toy
2018-08-18 13:08:29	2724468707254	3	8	100.0	99.99	0.0	0.0%	Vacuum Sealer Bag 25X30cm (100pcs)
2018-08-18 13:08:49	2724342560562	3	9	42.0	41.99	0.0	0.0%	Mens Hip Hop 18k Real Gold Silver Plated Pendant Necklace Small finger Chain
2018-08-18 13:09:02	2724447541886	3	10	29.0	28.99	0.0	0.0%	Kids Wooden Unlock Puzzle Educational Toy For Gift
2018-08-18 13:09:05	2724317853149	3	11	33.9	33.88	0.01	0.0%	Fashionable Multi Function crossbody bag for ladies M-8
2018-08-18 13:09:23	2724338234217	3	12	47.78	47.77	0.0	0.0%	Minecraft 3 inch Hangers/Action Figures Complete Party Bag set of 10
2018-08-18 13:09:34	2724447747806	3	13	88.0	87.99	0.0	0.0%	Newborn Baby Pillows Multifunction Nursing Pillow Toddler Soft Cotton Adjustable Pillow Nursing Hold For Mom
2018-08-18 13:09:47	2724563690864	3	14	84.9	84.89	0.0	0.0%	Funky Men Earring Magnet Clip with Superman Printed Single Piece
2018-08-18 13:09:57	2724602237654	3	15	97.37	97.36	0.0	0.0%	New style Beach Toys Deluxe Playset for Kids 12 pcs Large Dump Truck Sand Shovel Set
2018-08-18 13:10:09	2724547625233	3	16	43.9	43.89	0.0	0.0%	Silicone Baby Teether Pacifier Glove Natural Thumb Sound Teething Chewable Nursing Beads Child Give Up Sucking Fingers
2018-08-18 13:10:20	2724446039605	3	17	16.59	16.58	0.0	0.0%	5 In 1 Nail Trimming Kit Electric Salon Shaper Manicure Pedicure Kit
2018-08-18 13:10:31	2724605418784	3	18	56.9	56.89	0.0	0.0%	Cartoon Plastic Baymax Robot Shaking Head Figure Car Ornaments Auto Interior Decorations Big Hero Doll Toys Ornament Accessories
2018-08-18 13:10:52	2724339631992	3	19	31.15	31.14	0.0	0.0%	Ice Ball Maker Mold 4.5cm Spheres Essential Silicone Round Ice Ball Sphere Maker Molds
2018-08-18 13:11:05	2724353579089	3	20	15.97	15.96	0.0	0.0%	Silicon Sports Bracelet Strap Band for Apple Watch Series 2 / 1 42MM blue
2018-08-18 13:11:20	2724607303965	4	1	40.0	39.99	0.0	0.0%	Portable Electric Lady Shaver Bikini Eyebrow Shaper Eyebrow Shave Nose Ear Hair Trimmer
2018-08-18 13:11:39	2724565018901	4	2	75.0	74.99	0.0	0.0%	Multipurpose Wild Fishing Tool Equipment Multifunctional Outdoor Survival Parachute Survival Kit Fire Rescue Package
2018-08-18 13:11:52	2724450014667	4	3	35.46	35.45	0.0	0.0%	Metal set auger black belt drill masquerade half a face mask, wrought iron
2018-08-18 13:12:14	2724338547300	4	4	27.95	27.94	0.0	0.0%	2in1 Cat and Puppy Pet Pyramid Tunnel Bed and Mat Indoor Tube Cushion
2018-08-18 13:12:27	2724464220665	4	5	53.0	52.99	0.0	0.0%	PULUZ 24cm x 23cm x 22cm Portable Mini Photo Studio Box Photography Backdrop built-in Light Photo Box
2018-08-18 13:12:41	2724468859960	4	6	39.86	39.85	0.0	0.0%	Medium Brown Cowboy Hat For Men
2018-08-18 13:13:16	2724312230778	4	7	14.46	14.45	0.0	0.0%	Digital LCD Display Temperature Humidity Meter Hygrometer Clock Calendar HTC-1
2018-08-18 13:13:27	2724463511832	4	8	48.76	48.75	0.0	0.0%	Europe Style 18K Gold Plating Extended Chain Fashion Simple Women Anklet
2018-08-18 13:13:42	2724330646087	4	9	37.87	37.86	0.0	0.0%	Baby sliding closet door window lock
2018-08-18 13:13:57	2724343433704	4	10	60.71	60.7	0.0	0.0%	Cat Dog Toilet Training Device
2018-08-18 13:14:10	2724446881129	4	11	27.98	27.97	0.0	0.0%	The Witcher 3 Wild Hunt Wolf head Necklace Pendant- SS0024
2018-08-18 13:14:30	2724337980559	4	12	27.6	27.59	0.0	0.0%	PK-807 Fashionable Stainless Steel with Skeleton Skull Pendant Necklace for Men
2018-08-18 13:14:42	2724334710562	4	13	37.72	37.71	0.0	0.0%	Pistol Model Men Cufflinks cuff119
2018-08-18 13:14:57	2724327922224	4	14	87.9	87.89	0.0	0.0%	Korean version Fashion Trend girl college double shoulder bag Backpack HH99 green
2018-08-18 13:16:28	2724343433704	1	5	60.7	60.69	0.0	0.0%	Cat Dog Toilet Training Device
2018-08-18 13:16:39	2724330646087	1	6	37.86	37.85	0.0	0.0%	Baby sliding closet door window lock
2018-08-18 13:16:50	2724463511832	1	7	48.75	48.74	0.0	0.0%	Europe Style 18K Gold Plating Extended Chain Fashion Simple Women Anklet
2018-08-18 13:17:01	2724312230778	1	8	14.45	14.44	0.0	0.0%	Digital LCD Display Temperature Humidity Meter Hygrometer Clock Calendar HTC-1
2018-08-18 13:17:13	2724468859960	1	9	39.85	39.84	0.0	0.0%	Medium Brown Cowboy Hat For Men
2018-08-18 13:17:25	2724464220665	1	10	52.99	52.98	0.0	0.0%	PULUZ 24cm x 23cm x 22cm Portable Mini Photo Studio Box Photography Backdrop built-in Light Photo Box
2018-08-18 13:17:57	2724329065479	1	12	65.0	64.99	0.0	0.0%	Large Magnifier 3X Foldable Magnifying Glass Loupe for A4 Full Page Reading
2018-08-18 13:18:08	2724450014667	1	13	35.45	35.44	0.0	0.0%	Metal set auger black belt drill masquerade half a face mask, wrought iron
2018-08-18 13:18:19	2724565018901	1	14	74.99	74.98	0.0	0.0%	Multipurpose Wild Fishing Tool Equipment Multifunctional Outdoor Survival Parachute Survival Kit Fire Rescue Package
2018-08-18 13:18:42	2724339631992	1	16	31.14	31.13	0.0	0.0%	Ice Ball Maker Mold 4.5cm Spheres Essential Silicone Round Ice Ball Sphere Maker Molds
2018-08-18 13:20:22	2724447747806	2	3	87.99	87.98	0.0	0.0%	Newborn Baby Pillows Multifunction Nursing Pillow Toddler Soft Cotton Adjustable Pillow Nursing Hold For Mom
2018-08-18 13:20:33	2724338234217	2	4	47.77	47.76	0.0	0.0%	Minecraft 3 inch Hangers/Action Figures Complete Party Bag set of 10
2018-08-18 13:20:54	2724317853149	2	5	33.88	33.87	0.0	0.0%	Fashionable Multi Function crossbody bag for ladies M-8
2018-08-18 13:21:28	2724342560562	2	7	41.99	41.98	0.0	0.0%	Mens Hip Hop 18k Real Gold Silver Plated Pendant Necklace Small finger Chain
2018-08-18 13:21:51	2724547672718	2	9	88.89	88.88	0.0	0.0%	Animated Flappy The Elephant Plush Toy
2018-08-18 13:22:07	2724460974197	2	10	45.89	45.88	0.0	0.0%	Knife Tool Swiss Army Pocket Knife Tool
2018-08-18 13:22:25	2724317040761	2	11	86.49	86.48	0.0	0.0%	Classic 6 Hooks (for Women) Thermal Corset Natural Latex Free Size( Xl,2xl,3xl) Black Color
2018-08-18 13:22:49	2724337700935	2	13	17.99	17.98	0.0	0.0%	Portable Credit Card Size Casino Bar Travel Wine Bottle Opener (Silver)
2018-08-18 13:23:01	2724447356657	2	14	38.89	38.88	0.0	0.0%	Europe Style Men Shirt Cufflinks Fashion Casual Businessman Sleeve Button
2018-08-18 13:23:34	2724464115855	2	16	51.44	51.43	0.0	0.0%	Multi Color Baseball & Snapback Hat For Men
2018-08-18 13:23:45	2724462829495	2	17	97.86	97.85	0.0	0.0%	Medicine Pill Jewelry Storage Organizer Box Plastic Adjustable Tablet Container Drug Storage Box
2018-08-18 13:24:07	2724448976304	2	19	64.99	64.98	0.0	0.0%	Men Ring Titanium Steel Vintga Classic Red Diamond Ring for Male US9mr8
2018-08-18 13:24:31	2724287985116	3	1	42.65	42.64	0.0	0.0%	Women Men Trendy Unisex Fedora Trilby Gangster Cap Summer Beach Sun Straw Panama Hat Sunhat Belt GH3115 White
2018-08-18 13:24:42	2724277742323	3	2	36.87	36.86	0.0	0.0%	Grip Suction Mount Handle
2018-08-18 13:24:53	2724341621523	3	3	42.99	42.98	0.0	0.0%	Mermaid Pillow Case, Play Tailor Magic Reversible Sequins Pillow Cover Throw Cushion Case 39x39CM, off-white and Gold
2018-08-18 13:25:14	2724456211190	3	4	75.84	75.83	0.0	0.0%	Jinbaolai Brown Synthetic For Men - Card & ID Cases
2018-08-18 13:25:59	2724311190455	3	6	51.98	51.97	0.0	0.0%	Natural Crystal Black Onyx Obsidian Beads Multilayer Men's Bracelet
2018-08-18 13:26:22	2724337384340	3	7	41.91	41.9	0.0	0.0%	Mens Coin Purse Pockets Credit Card Holder Dull Clutch Bifold Wallet
2018-08-18 13:26:35	2724337444907	3	8	15.93	15.92	0.0	0.0%	Multi Color Cotton Visor Hat For Unisex
2018-08-18 13:27:57	2724341621523	1	5	42.98	42.97	0.0	0.0%	Mermaid Pillow Case, Play Tailor Magic Reversible Sequins Pillow Cover Throw Cushion Case 39x39CM, off-white and Gold
2018-08-18 13:28:20	2724277742323	1	6	36.86	36.85	0.0	0.0%	Grip Suction Mount Handle
2018-08-18 13:28:40	2724287985116	1	7	42.64	42.63	0.0	0.0%	Women Men Trendy Unisex Fedora Trilby Gangster Cap Summer Beach Sun Straw Panama Hat Sunhat Belt GH3115 White
2018-08-18 13:29:42	2724337700935	1	12	17.98	17.97	0.0	0.0%	Portable Credit Card Size Casino Bar Travel Wine Bottle Opener (Silver)
2018-08-18 13:30:45	2724342560562	1	16	41.98	41.97	0.0	0.0%	Mens Hip Hop 18k Real Gold Silver Plated Pendant Necklace Small finger Chain
2018-08-18 13:30:57	2724317853149	1	17	33.87	33.86	0.0	0.0%	Fashionable Multi Function crossbody bag for ladies M-8
2018-08-18 13:31:07	2724338234217	1	18	47.76	47.75	0.0	0.0%	Minecraft 3 inch Hangers/Action Figures Complete Party Bag set of 10
2018-08-18 13:31:19	2724447747806	1	19	87.98	87.97	0.0	0.0%	Newborn Baby Pillows Multifunction Nursing Pillow Toddler Soft Cotton Adjustable Pillow Nursing Hold For Mom
2018-08-18 13:31:40	2724339631992	1	20	31.13	31.12	0.0	0.0%	Ice Ball Maker Mold 4.5cm Spheres Essential Silicone Round Ice Ball Sphere Maker Molds
2018-08-18 13:32:15	2724450014667	2	2	35.44	35.43	0.0	0.0%	Metal set auger black belt drill masquerade half a face mask, wrought iron
2018-08-18 13:32:57	2724464220665	2	4	52.98	52.97	0.0	0.0%	PULUZ 24cm x 23cm x 22cm Portable Mini Photo Studio Box Photography Backdrop built-in Light Photo Box
2018-08-18 13:33:23	2724312230778	2	6	14.44	14.43	0.0	0.0%	Digital LCD Display Temperature Humidity Meter Hygrometer Clock Calendar HTC-1
2018-08-18 13:33:35	2724463511832	2	7	48.74	48.73	0.0	0.0%	Europe Style 18K Gold Plating Extended Chain Fashion Simple Women Anklet
2018-08-18 13:33:56	2724330646087	2	8	37.85	37.84	0.0	0.0%	Baby sliding closet door window lock
2018-08-18 13:34:07	2724343433704	2	9	60.69	60.68	0.0	0.0%	Cat Dog Toilet Training Device
2018-08-18 13:34:30	2724327922224	2	11	87.89	87.88	0.0	0.0%	Korean version Fashion Trend girl college double shoulder bag Backpack HH99 green
2018-08-18 13:34:54	2724337980559	2	13	27.59	27.58	0.0	0.0%	PK-807 Fashionable Stainless Steel with Skeleton Skull Pendant Necklace for Men
2018-08-18 13:35:15	2724446881129	2	14	27.97	27.96	0.0	0.0%	The Witcher 3 Wild Hunt Wolf head Necklace Pendant- SS0024
2018-08-18 13:35:26	2724338547300	2	15	27.94	27.93	0.0	0.0%	2in1 Cat and Puppy Pet Pyramid Tunnel Bed and Mat Indoor Tube Cushion
2018-08-18 13:36:19	2724547625233	2	19	43.89	43.88	0.0	0.0%	Silicone Baby Teether Pacifier Glove Natural Thumb Sound Teething Chewable Nursing Beads Child Give Up Sucking Fingers
2018-08-18 13:36:52	2724563690864	3	1	84.89	84.88	0.0	0.0%	Funky Men Earring Magnet Clip with Superman Printed Single Piece
